,year,mat_fem_GE90,rec
1,1975,65.34606887,NA
2,1976,97.11675619,89.39757497
3,1977,127.8570045,53.62479121
4,1978,131.3962199,83.10247665
5,1979,124.0651702,148.719487
6,1980,125.2990089,200.6486736
7,1981,57.732191,92.15784786
8,1982,26.49357268,330.9006578
9,1983,18.18379309,128.0549492
10,1984,18.22498583,88.71968654
11,1985,12.82439667,14.74876551
12,1986,17.5930167,42.70967449
13,1987,21.90488137,14.05794776
14,1988,27.51815419,9.086221485
15,1989,25.60718395,11.45348189
16,1990,22.55723841,29.30640936
17,1991,21.84173693,19.7583999
18,1992,23.54368196,4.599020698
19,1993,21.86079982,13.04453848
20,1994,18.4216342,3.954261373
21,1995,16.83914407,82.53873863
22,1996,25.23833629,13.86750834
23,1997,37.2508798,6.446291238
24,1998,32.05537551,17.40282091
25,1999,26.67275058,48.01876673
26,2000,28.6760046,18.52609183
27,2001,32.84329706,17.2345972
28,2002,31.47045087,74.10719863
29,2003,39.14576557,17.27567361
30,2004,48.9376317,15.75899037
31,2005,44.65138808,54.3825954
32,2006,44.76436434,28.41860462
33,2007,49.56535769,18.49659476
34,2008,46.08122876,10.58709557
35,2009,39.57639367,12.11952962
36,2010,34.17410205,29.82395377
37,2011,33.5570888,18.48091777
38,2012,35.60112093,10.48473807
39,2013,33.47954416,7.433148563
40,2014,29.20801995,4.570364184
41,2015,24.53887636,7.223097272
42,2016,20.61592927,13.74211325
43,2017,18.66091943,6.324800407
44,2018,16.97791519,12.18561627
45,2019,14.87752537,5.894697754
46,2020,13.67002469,6.275852377
47,2021,12.33768096,5.299392655
48,2022,10.93012108,11.53778147
49,2023,10.37727043,7.449446537
