,year,mat_total,model,totalr
1,1975,65.17036902,m230a,NA
2,1976,97.00981205,m230a,83.61994801
3,1977,128.6689834,m230a,54.03998981
4,1978,131.7453376,m230a,82.12431815
5,1979,124.0345413,m230a,151.3001686
6,1980,125.0991206,m230a,202.5908301
7,1981,57.10701527,m230a,91.04489585
8,1982,25.88633907,m230a,343.3116939
9,1983,17.86969912,m230a,130.2512553
10,1984,18.05441487,m230a,88.51457153
11,1985,12.5382883,m230a,14.54913659
12,1986,17.25300489,m230a,41.9662349
13,1987,21.55228586,m230a,13.82561913
14,1988,27.11569925,m230a,8.935464405
15,1989,25.30180303,m230a,11.25043228
16,1990,22.41364142,m230a,29.21751892
17,1991,21.75767192,m230a,19.4179141
18,1992,23.46221881,m230a,4.693633087
19,1993,21.82957327,m230a,12.87763402
20,1994,18.44350063,m230a,3.927391675
21,1995,16.98080763,m230a,81.53962131
22,1996,25.36592687,m230a,13.68252105
23,1997,37.01346525,m230a,6.375731812
24,1998,31.87557479,m230a,16.99899538
25,1999,26.65944193,m230a,47.35347278
26,2000,28.55401605,m230a,18.47843182
27,2001,32.64927464,m230a,16.4022132
28,2002,31.3016888,m230a,73.34692336
29,2003,38.84455021,m230a,16.68665184
30,2004,48.48286723,m230a,15.39563835
31,2005,44.34581387,m230a,53.58918162
32,2006,44.45784883,m230a,28.13855009
33,2007,49.23260933,m230a,18.3319401
34,2008,45.85590285,m230a,10.54660686
35,2009,39.52380277,m230a,11.95603868
36,2010,34.29724156,m230a,29.27824856
37,2011,33.69961921,m230a,18.57349155
38,2012,35.71795709,m230a,10.27066198
39,2013,33.7180519,m230a,7.529807358
40,2014,29.52962185,m230a,4.587128509
41,2015,24.93275608,m230a,7.269951382
42,2016,21.09196789,m230a,14.08425026
43,2017,19.20364395,m230a,6.515350537
44,2018,17.63729666,m230a,12.87498991
45,2019,15.60968712,m230a,6.751376407
46,2020,14.4943719,m230a,7.973990714
47,2021,13.30499613,m230a,6.458242402
48,2022,12.00878274,m230a,14.81025284
49,2023,11.90612333,m230a,10.93600585
50,2024,13.03770183,m230a,5.806031036
