"","year","mat_fem_GE90","rec"
"1",1975,54.7938474332,NA
"2",1976,83.1336513113,63.8845430058
"3",1977,110.3727318296,41.1968706377
"4",1978,114.468152739,64.3494933619
"5",1979,109.5051292168,115.4703045682
"6",1980,111.4686129392,150.2618163289
"7",1981,48.8629484214,67.9362150924
"8",1982,21.3947939615,241.5582566934
"9",1983,14.1989850108,93.0668196011
"10",1984,13.9800421582,64.2657356559
"11",1985,9.7303731712,10.2042044959
"12",1986,13.635868689,30.3612985756
"13",1987,17.028597992,9.4733450633
"14",1988,21.4527281587,6.1835462167
"15",1989,20.2326054871,8.033112907
"16",1990,18.0583896358,20.8476003291
"17",1991,17.4346039755,13.1110837441
"18",1992,18.579045207,3.0233902514
"19",1993,17.268926313,9.0695911737
"20",1994,14.6808845851,2.9095004368
"21",1995,13.573601993,59.4393579217
"22",1996,19.6931465369,8.6301191088
"23",1997,28.7385163179,4.44617704
"24",1998,25.2339541384,12.4054396518
"25",1999,21.3167313977,33.5812379979
"26",2000,22.7346475831,12.4683210519
"27",2001,25.7618925125,12.8931356467
"28",2002,25.0100580414,51.4784303821
"29",2003,30.660688579,11.7552120733
"30",2004,37.8231786283,10.9506638678
"31",2005,35.0258270151,39.5357758692
"32",2006,35.3265115678,18.9299530086
"33",2007,39.2048786341,12.7933433222
"34",2008,36.7511027216,7.1486437138
"35",2009,32.1826627803,8.1563853043
"36",2010,28.1667553013,21.7890225258
"37",2011,27.7290343218,12.610809398
"38",2012,29.4883279128,7.3026196477
"39",2013,27.8786936472,5.3152527554
"40",2014,24.6466379499,3.3240499914
"41",2015,21.0922923497,5.277938286
"42",2016,17.9646147198,10.3319301088
"43",2017,16.3252442042,4.3579198474
"44",2018,14.9107976693,9.7317243309
"45",2019,13.1239238643,5.29359983
"46",2020,12.0657761635,5.7927764679
"47",2021,10.9819773889,6.6064708065
"48",2022,10.2014370534,9.0057744694
