"year","Jan_Feb_plot_ice","Mar_Apr_plot_ice","Jan_Jun_SST","June_bottom_temp"
1975,0.278858871225393,0.402976986271941,1.11317829854912,1.27661883700863
1976,0.319642072351362,0.522242230414675,0.877447431866026,1.34243071336993
1977,0.0973143845283465,0.13337600003695,2.56383785153207,3.36759334925743
1978,0.106735612127526,0.104680668590348,2.44663092306326,4.16962244507106
1979,0.0752638941536573,0.0527175178951021,2.7915119668562,5.01675730874776
1980,0.331456215754845,0.119406879539805,1.71605568647335,2.92264890345064
1981,0.152552495861427,0.040160959830682,2.8556950311276,4.72868567156378
1982,0.158885450097304,0.234779221160854,1.91211149001477,1.8752486947885
1983,0.210978642664692,0.0656645693463775,2.62775415455711,3.44480222695337
1984,0.165702871820893,0.145820037863202,2.44057190724793,2.84102835655015
1985,0.0463039693968053,0.209828274277995,2.29545422978559,2.66502355946303
1986,0.126197576612275,0.167100828513753,2.02094104698087,2.2072650379271
1987,0.0943674400867586,0.0598337093094531,2.8484909905735,3.75418974886406
1988,0.11180332225651,0.2037350976049,2.43054517585074,2.72811593670456
1989,0.173058210334435,0.138914815328087,1.95206967032563,2.7043280652995
1990,0.208063685493923,0.184606429448974,2.10798110037415,3.01831446961042
1991,0.242261379177071,0.173279599375804,2.04472580792718,3.14611028220062
1992,0.229668525673958,0.248013764009757,2.07048148510935,2.29457515906062
1993,0.183094209986632,0.05747618703065,2.65443518046405,3.47750326302859
1994,0.113559977707058,0.204726343986306,2.4603546987942,2.50533717973795
1995,0.194246489209402,0.201270527862159,1.83941453460198,1.93194295196714
1996,0.174108711536983,0.0676857305427885,2.51215847723329,3.68288485462026
1997,0.2279857045151,0.174973322300927,2.31977411026763,2.78718815438305
1998,0.308238842349942,0.0424487370746986,2.2933234991119,3.72960049066476
1999,0.25006454823852,0.346657516046094,1.52190945068954,1.16638194358052
2000,0.345102416303106,0.0680530981748578,1.80568432623856,2.52373553047233
2001,0.0135246086395298,0.0547568399455178,3.22219050954161,3.42299465865146
2002,0.253078724616968,0.059909058465051,2.43553896400534,3.62991063554621
2003,0.0721384146820302,0.0598765633207832,3.59808976245377,4.11615830908319
2004,0.153044336270582,0.094682619343771,2.880758582929,3.77598189752919
2005,0.0710687806607739,0.0627599710426712,3.35519439579771,4.32108639771058
2006,0.185911366492802,0.171541700217096,2.18201175187791,2.47287380525934
2007,0.136727054127677,0.244867006391924,1.70124977645438,1.9718691817623
2008,0.223184794318936,0.3265380393307,1.19033045314265,1.58706102165215
2009,0.263905097945235,0.291889003767699,1.51335667981237,1.44348725592428
2010,0.175651044392248,0.31319324416127,1.51564336999261,1.71015264130516
2011,0.192703201902311,0.195522442440908,1.75538011607749,2.71139061162348
2012,0.279264889778184,0.397885213449223,0.967574514249103,1.19721503250871
2013,0.221910390977092,0.229855449372337,1.55527266959261,2.2973864673949
2014,0.0385781809847481,0.054055808214197,3.16054690880321,4.04774993665188
2015,0.0608307699662009,0.0414067821563877,3.48520035704762,4.54455459971936
2016,0.0111040049758426,0.012835573229321,4.33932272762523,5.53619184305178
2017,0.141563130181934,0.179811797619406,2.84285601720182,2.82643389481339
2018,0.0395056454661685,0.020475644862279,3.53616018088294,4.63597527755205
2019,0.0480337425803362,0.00634976659831133,4.2825724665457,5.19268837805451
2020,0.203153678827149,0.162452201544201,2.83233150403211,NA
2021,0.0948900768910606,0.104758338202219,3.00491578733108,4.01027769375302
2022,0.250628133282618,0.0762192388061225,2.44619290411367,3.22707102404351
