"t","estimate","conf.low","conf.high"
1975,-2.32944657539731,-3.53746577983099,-1.12142737096362
1976,-2.36088221806159,-3.4698985613697,-1.25186587475348
1977,-1.06661323330403,-2.16698589320088,0.0337594265928225
1978,-1.62848046860905,-2.72813046772928,-0.528830469488823
1979,-1.4541738555131,-2.55376367082779,-0.354584040198396
1980,-0.750314148971366,-1.8498989537624,0.349270655819672
1981,-0.404669030755803,-1.50425341841361,0.694915356902006
1982,-0.227387257355801,-1.32697161028675,0.872197095575151
1983,0.537516663134238,-0.562067686905661,1.63710101317414
1984,0.115913691568587,-0.983670658230629,1.2154980413678
1985,-0.646402340148805,-1.74598668992798,0.453182009630375
1986,-0.585223783951041,-1.68480813372855,0.51436056582647
1987,0.0919527458589448,-1.00763160391843,1.19153709563632
1988,-0.281356967965674,-1.38094131774303,0.818227381811686
1989,-0.929530510939926,-2.02911486071728,0.170053838837433
1990,-0.783271323759252,-1.88285567353661,0.316313026018107
1991,-0.547096813419512,-1.64668116319687,0.552487536357846
1992,0.113893332980843,-0.985691016796516,1.2134776827582
1993,0.471812398418937,-0.627771951358422,1.5713967481963
1994,0.261339457099545,-0.838244892677814,1.3609238068769
1995,-0.323520789479553,-1.42310513925691,0.776063560297805
1996,-0.0173697911036998,-1.11695414088106,1.08221455867366
1997,0.410693895652239,-0.68889045412512,1.5102782454296
1998,0.517295173931367,-0.582289175845991,1.61687952370873
1999,0.146885687541326,-0.952698662236033,1.24647003731868
2000,0.717177200408652,-0.382407149368707,1.81676155018601
2001,1.35229592929536,0.252711579518001,2.45188027907272
2002,1.27546048453909,0.17587613476173,2.37504483431645
2003,2.29713469137711,1.19755034159975,3.39671904115447
2004,1.48405526639104,0.384470916613684,2.5836396161684
2005,1.14883932710551,0.0492549773281541,2.24842367688287
2006,-0.0616262836169443,-1.1612106333943,1.03795806616041
2007,-1.65879831846586,-2.75838266824322,-0.559213968688502
2008,-2.26727187931385,-3.36685622909123,-1.16768752953648
2009,-1.47527720414107,-2.57486155391863,-0.375692854363508
2010,-2.00713987628094,-3.10672422606073,-0.907555526501155
2011,-2.26692435284965,-3.36650870265615,-1.16734000304314
2012,-2.42553173141961,-3.52511608154707,-1.32594738129214
2013,-1.69115662770743,-2.7907409816902,-0.591572273724658
2014,0.201300807019945,-0.898283593272143,1.30088520731203
2015,1.6335229950575,0.533938038505648,2.73310795160935
2016,2.82746046364304,1.72786882541202,3.92705210187406
2017,2.33911021249919,1.23943831820488,3.4387821067935
2018,2.2954595442791,1.19482408462614,3.39609500393205
2019,3.38751963541123,2.27537522533871,4.49966404548375
2020,2.20263485663623,0.960552771871738,3.44471694140072
2021,1.13653701556533,0.0232678773160977,2.24980615381456
2022,0.875965213717579,-0.237835345432542,1.9897657728677
2023,0.341803674035451,-0.906501613296331,1.59010896136723
